id,Քաղաք/Գյուղ
3201,Երևան
3202,Երևան
3203,Երևան
3204,Երևան
3205,Երևան
3206,Երևան
3207,Եղեգնաձոր
3208,Երևան
3209,Երևան
3210,Էջմիածին
3211,Երևան
3212,Երևան
3213,Երևան
3214,Երևան
3215,Երևան
3216,Երևան
3217,Երևան
3218,Երևան
3219,Երևան
3220,Երևան
3221,Երևան
3222,Երևան
3223,Երևան
3224,Երևան
3225,Երևան
3226,Երևան
3227,Երևան
3228,Երևան
3229,Երևան
3230,Երևան
3231,Երևան
3233,Երևան
3234,Երևան
3236,Երևան
3237,Երևան
3238,Երևան
3241,Երևան
3242,Երևան
3245,Երևան
3247,Երևան
3248,Երևան
3249,Երևան
3251,Երևան
3252,Երևան
3253,Երևան
3254,Երևան
3255,Երևան
3256,Երևան
3257,Երևան
3258,Երևան
3259,Երևան
3260,Երևան
3261,Երևան
3262,Երևան
3264,Երևան
3265,Երևան
3266,Երևան
3267,Երևան
3270,Երևան
BH122249,Երևան
BH121448,Երևան
BH121449,Երևան
BH121450,Եղեգնաձոր
BH121451,Երևան
BH121453,Երևան
BH121433,Մրգաշեն
BH121435,Երևան
BH121436,Երևան
BH121437,Երևան
BH121438,Երևան
BH121419,Արմավիր
BH121421,Երևան
BH121422,Գյումրի
BH121423,Երևան
BH121424,Երևան
BH121405,Վանաձոր
BH121406,Նոր Հաճըն
BH121407,Երևան
BH121409,Երևան
BH121410,Երևան
BH121411,Երևան
BH112588,Երևան
BH112568,Երևան
3271,Երևան
3272,Երևան
3273,Երևան
3275,Երևան
3276,Երևան
3277,Երևան
3278,Երևան
3279,Երևան
3280,Երևան
3281,Երևան
3282,Աբովյան
3283,Երևան
3284,Երևան
3285,Երևան
3286,Երևան
BH114913,Երևան
BH114928,Երևան
BH114952,Երևան
BH120782,Երևան
BH122218,Երևան
BH122192,Չարենցավան
BH122176,Երևան
BH122177,Երևան
BH122163,Երևան
BH122148,Երևան
BH122119,Երևան
BH023840,Երևան
BH023846,Երևան
BH023825,Երևան
BH023826,Երևան
BH023828,Երևան
BH023829,Երևան
BH023830,Երևան
BH023832,Երևան
BH023834,Երևան
BH023835,Երևան
BH023836,Երևան
BH023813,Երևան
BH023814,Երևան
BH023815,Չարենցավան
BH023820,Երևան
BH023821,Երևան
BH023822,Արմավիր
BH023823,Երևան
BH023824,Երևան
BH023804,Երևան
BH023805,Երևան
BH023808,Երևան
BH023810,Երևան
BH023812,Աբովյան
BH023789,Երևան
BH023790,Երևան
BH023791,Երևան
BH023793,Երևան
BH023796,Երևան
BH023800,Երևան
BH023777,Երևան
BH023780,Երևան
BH023781,Երևան
BH023784,Երևան
BH023785,Երևան
BH023787,Երևան
BH023055,Երևան
BH023046,Երևան
BH023036,Երևան
BH022900,Երևան
BH022885,Երևան
BH022894,Երևան
BH112125,Երևան
BH112130,Երևան
BH112114,Երևան
BH105039,Երևան
BH105040,Երևան
BH105041,Երևան
BH105042,Երևան
BH105024,Սպիտակ
BH070893,Երևան
BH122976,Երևան
BH122977,Երևան
BH122986,Երևան
BH120693,Երևան
BH120666,Երևան
BH120654,Երևան
BH122094,Երևան
BH122083,Երևան
BH122050,Երևան
BH122053,Երևան
BH122037,Երևան
BH122043,Երևան
BH122048,Երևան
BH122022,Երևան
BH023766,Երևան
BH023775,Երևան
BH023776,Էջմիածին
BH023761,Երևան
BH023742,Երևան
BH023745,Երևան
BH023749,Երևան
BH023734,Ալավերդի
BH023735,Երևան
BH023738,Երևան
BH023739,Երևան
BH023717,Երևան
BH023728,Երևան
BH023707,Երևան
